,url,name,active_from,active_to,position,college,height,weight,birth_date,NBA_2p,NBA_2pa,NBA_2pp,NBA_3p,NBA_3pa,NBA_3pp,NBA_ast,NBA_blk,NBA_drb,NBA_fg,NBA_fga,NBA_fgp,NBA_ft,NBA_fta,NBA_ftp,NBA_g,NBA_mp,NBA_orb,NBA_pts,NBA_stl,NBA_tov,NBA_trb,NCAA_2p,NCAA_2pa,NCAA_2pp,NCAA_3p,NCAA_3pa,NCAA_3pp,NCAA_ast,NCAA_blk,NCAA_drb,NCAA_fg,NCAA_fga,NCAA_fgp,NCAA_ft,NCAA_fta,NCAA_ftp,NCAA_g,NCAA_mp,NCAA_orb,NCAA_pts,NCAA_stl,NCAA_tov,NCAA_trb
1174,/players/d/durhapa01.html,Pat Durham,1993,1995,F,Colorado State,6-7,210,"March 10, 1967",,,,,,,,,,,,,,,,,,,,,,,,,.527,,,.111,1.5,1.4,,5.6,11.0,.515,4.6,6.5,.697,125,32.8,,15.8,1.0,2.5,6.8
1175,/players/d/durrade01.html,Devin Durrant,1985,1986,F,BYU,6-7,200,"October 20, 1960",2.0,5.3,.381,0.0,0.0,,1.3,0.0,1.5,2.0,5.3,.381,0.3,1.0,.250,4,12.8,0.5,4.3,0.8,1.0,2.0,,,,,,,,,,7.1,13.1,.545,5.3,7.0,.757,117,33.8,,19.5,,,
1176,/players/d/durreke01.html,Ken Durrett,1972,1975,F,La Salle,6-7,190,"December 8, 1948",,,,,,,,,,1.0,2.6,.381,,,,8,8.1,,2.8,,,,,,,,,,,,,9.2,18.9,.484,,,,71,,,23.6,,,
1177,/players/d/duvaltr01.html,Trevon Duval,2019,2019,G,Duke,6-2,189,"August 3, 1998",,,,,,,,,,,,,,,,,,,,,,,3.2,6.5,.490,0.8,2.9,.290,5.6,0.1,1.4,4.0,9.4,.428,1.4,2.4,.596,37,29.8,0.5,10.3,1.5,2.8,2.0
1178,/players/d/dwanja01.html,Jack Dwan,1949,1949,F-G,Loyola Chicago,6-4,200,"May 3, 1921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1179,/players/d/dykemcr01.html,Craig Dykema,1982,1982,F,Cal State Long Beach,6-8,190,"June 11, 1959",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,8.0,.525,2.4,3.0,.804,59,28.2,,10.8,,,
1180,/players/d/dykerge01.html,Gene Dyker,1954,1954,F,DePaul,6-6,225,"February 17, 1930",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,/players/d/dysonje01.html,Jerome Dyson,2012,2012,G,UConn,6-3,180,"May 1, 1987",,,,,,,,,,,,,,,,,,,,,,,3.4,8.1,.423,1.2,3.8,.318,2.9,0.5,2.8,4.6,11.9,.390,4.0,5.4,.735,113,30.4,1.1,14.4,1.7,2.8,3.9
1182,/players/e/eacklle01.html,Ledell Eackles,1989,1998,G-F,New Orleans,6-5,220,"November 24, 1966",5.1,11.3,.447,0.2,0.8,.322,2.3,0.1,1.3,5.3,12.1,.439,2.7,3.6,.750,78,21.7,0.9,13.5,0.6,1.8,2.2,6.9,13.2,.524,1.5,4.3,.352,1.6,0.2,,8.5,17.6,.482,4.6,5.9,.776,59,31.9,,23.0,0.9,2.9,4.5
1183,/players/e/eakinji01.html,Jim Eakins,1969,1978,C,BYU,6-11,215,"May 24, 1946",2.2,4.4,.497,0.0,0.0,,0.9,,3.4,2.2,4.4,.497,2.0,2.7,.741,82,14.8,1.6,6.4,,1.3,5.0,,,,,,,,,,3.7,7.0,.526,,,,71,,,9.9,,,
1184,/players/e/earlac01.html,Acie Earl,1994,1997,F-C,Iowa,6-10,240,"June 23, 1970",0.9,2.3,.382,0.0,0.0,,0.1,0.3,0.9,0.9,2.3,.382,0.5,1.0,.483,30,6.9,0.6,2.2,0.2,0.5,1.5,5.5,10.8,.509,0.0,0.1,.286,1.2,3.1,,5.5,10.9,.508,4.3,6.3,.680,116,27.6,,15.3,1.0,2.9,7.0
